  127    0    0
 -121    0    0
  127    0    0
  127    0    0
 -127    0    0
  127    0    0
  127    0    0
 -127    0    0
  116    0    0
   94    0    0
  127    0    0
  127    0    0
 -125    0    0
 -127    0    0
 -126    0    0
 -127    0    0
  127    0    0
 -127    0    0
  127    0    0
 -119    0    0
  127    0    0
 -120    0    0
 -127    0    0
 -124    0    0
  127    0    0
  127    0    0
 -127    0    0
  127    0    0
 -124    0    0
 -127    0    0
 -105    0    0
  127    0    0
  121    0    0
  127    0    0
 -127    0    0
 -127    0    0
  115    0    0
 -127    0    0
  127    0    0
  127    0    0
 -127    0    0
  114    0    0
  127    0    0
 -122    0    0
 -118    0    0
  127    0    0
 -127    0    0
  127    0    0
  127    0    0
  127    0    0
 -127    0    0
  127    0    0
 -127    0    0
 -127    0    0
 -122    0    0
  127    0    0
 -127    0    0
  119    0    0
 -127    0    0
 -109    0    0
  125    0    0
  127    0    0
  127    0    0
  127    0    0
  121    0    0
 -112    0    0
  127    0    0
  127    0    0
  127    0    0
  127    0    0
  127    0    0
  127    0    0
  127    0    0
  127    0    0
  123    0    0
  127    0    0
 -127    0    0
 -127    0    0
 -127    0    0
  116    0    0
 -127    0    0
  127    0    0
  127    0    0
  127    0    0
 -127    0    0
 -127    0    0
 -125    0    0
 -127    0    0
  127    0    0
 -123    0    0
 -127    0    0
 -127    0    0
 -127    0    0
 -121    0    0
  127    0    0
  110    0    0
  127    0    0
 -107    0    0
  110    0    0
  122    0    0
  118    0    0
   92    0    0
